title,author,age_range,isbn,year,tags,description,detail_url
Bringing Back Kay-Kay,Dev Kothari,12+ years,,,"Around the world, Poetry and rhyme","When Lena’s older brother goes missing, she knows she must find him. But what secrets will she uncover? A gripping mystery set in contemporary India, with themes of family expectations and the importance of the arts.",https://www.booktrust.org.uk/book-recommendations/bookfinder/bringing-back-kay-kay/
Hercules: The Diary of a (Sort Of) Hero,"Tom Vaughan, illustrated David O’Connell",12+ years,,,"Adventure, Chapter books, Funny, Myths and legends","Hercules’ plan to play it cool when he starts secondary school goes awry when he becomes a target for the school bully. With the arrival of his estranged Greek father, Hercules’ popularity surges, but at what cost? With a generous smattering of Greek mythology, this laugh-out-loud tale explores the nature of friendship, love and loyalty with a perfect mix of warmth and humour.",https://www.booktrust.org.uk/book-recommendations/bookfinder/hercules-the-diary-of-a-sort-of-hero/
I Am Wolf,Alastair Chisholm,12+ years,,,"Adventure, Science fiction, Dystopia, Disability",Apacy dystopian page-turner.,https://www.booktrust.org.uk/book-recommendations/bookfinder/i-am-wolf/
Impossible Creatures,"Katherine Rundell, illustrated Tomislav Tomic",12+ years,,,"Adventure, Fantasy, Myths and legends","Katherine Rundell has created an incredibly real-feeling magical world and story to rival classics like Narnia, with writing that sweeps you up and main characters who are simultaneously humanly flawed yet inherently pure and good.",https://www.booktrust.org.uk/book-recommendations/bookfinder/impossible-creatures/
Lunar,"Chris Bradford, illustrated Charlotte Grange",12+ years,,,"Adventure, Science fiction, Thriller, Dyslexia","With a great mix of science fiction and science fact, this nail-biting race-against-time is presented in an accessible format with black and white illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/lunar/
Safiyyah’s War,Hiba Noor Khan,12+ years,,,"Around the world, Coming-of-age, Historical, Thriller","Focussing on the experiences of a small group of individuals, Safiyyah’s story shines a spotlight on an under-recognised pocket of resistance from World War II when hundreds of Jews were led to safety via underground passages from the Grand Mosque in Paris.",https://www.booktrust.org.uk/book-recommendations/bookfinder/safiyyahs-war/
Geoffrey Gets the Jitters,Nadia Shireen,20232 to 4 years,,,"Funny, Picture books","Geoffrey’s jitters are out of control! How can he get rid of them? Told with humour and great empathy, this picture book from the author-illustrator ofBarbara Throws a Wobbleris both funny and helpful.",https://www.booktrust.org.uk/book-recommendations/bookfinder/geoffrey-gets-the-jitters/
Big Bad Dragon Club,by Beach,20232 to 6 years,,,"Funny, Picture books, Poetry and rhyme",A funny picture book about dragons learning they don’t always have to be bad!,https://www.booktrust.org.uk/book-recommendations/bookfinder/big-bad-dragon-club/
Green: The Story of Plant Life on Our Planet,"Nicola Davies, illustrated Emily Sutton",20234 to 12 years,,,Non-fiction,A beautifully illustrated book explaining how plants evolved and how they work now.,https://www.booktrust.org.uk/book-recommendations/bookfinder/green-the-story-of-plant-life-on-our-planet/
Femi and the Mindfulness Machine,"Flo Fielding, illustrated Sawyer Cloud",20234 to 6 years,,,Picture books,"Femi’s wind machine for Science Daydoesn’talways work. Gran has some useful advice – but what will happen at school when it matters? With techniques to calm anxiety, and gorgeous illustrations, this picture book will stimulate conversations about feelings.",https://www.booktrust.org.uk/book-recommendations/bookfinder/femi-and-the-mindfulness-machine/
Gina Kaminski Saves the Wolf,"Craig Barr-Green, illustrated Francis Martin",20234 to 6 years,,,"Adventure, Picture books, Autistic spectrum conditions, Neurodiversity",Retelling of Little Red Riding Hood with a neurodivergent protagonist.,https://www.booktrust.org.uk/book-recommendations/bookfinder/gina-kaminski-saves-the-wolf/
I’m Going to be a Princess,"Stephanie Taylor, illustrated Jade Orlando",20234 to 6 years,,,Picture books,"On her way home from school, Maya announces that she wants to be a princess when she grows up. Mum encourages her to consider other professions, but Maya won’t change her mind. Though maybe it’s not a fairy tale princess she’s thinking about. A witty story about inspirational black women.",https://www.booktrust.org.uk/book-recommendations/bookfinder/im-going-to-be-a-princess/
One Little Word,"Joseph Coelho, illustrated Allison Colpoys",20234 to 6 years,,,Picture books,"This is a poignant picture book about the power of friendship and knowing when to say sorry. The gentle, lyrical text from Children’s Laureate Joseph Coelho handles the familiar heightened emotions of playground-fall outs in a way that feels sincere and authentic.",https://www.booktrust.org.uk/book-recommendations/bookfinder/one-little-word/
Snail in Space,"Rachel Bright, illustrated Nadia Shireen",20234 to 6 years,,,"Funny, Picture books, Poetry and rhyme",Gail is a little snail with a big dream – to become the first snail in space! A hilarious story about the power of passion and persistence.,https://www.booktrust.org.uk/book-recommendations/bookfinder/snail-in-space/
The Concrete Garden,Bob Graham,20234 to 6 years,,,Picture books,Children join in to draw a beautiful garden with chalk. A gorgeous picture book celebratingcommunityand the positive effect art has oneveryone.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-concrete-garden/
The Egg Incident,"Ziggy Hanaor, illustrated Daisy Wynter",20234 to 6 years,,,"Funny, Graphic novels","Humphrey the eggisn’tallowed to do anything energetic – especially not climb walls. But when he and his new friend are locked in the park, hehas toescape somehow! A very funny graphic novel that will have children gigglingout loud.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-egg-incident/
The Thunk,"Michelle Robinson, illustrated Deborah Allwright",20234 to 6 years,,,"Funny, Picture books, Poetry and rhyme","This is a fabulously funny picture book by the author ofTen Fat Sausages,brimming full of Michelle Robinson’s trademark silly humour.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-thunk/
This Rock is Mine,illustrated Alice McKinley,20234 to 6 years,,,"Funny, Picture books","This is a fabulously funny picture book by the author of Ten Fat Sausages brimming full of Michelle Robinson’s trademark silly humour. So The Thunk is a beast, a bit like a skink, although more like a skunk on account of the stink, thought to be extinct but young explorer Hector Voltaire who’s had his fair share of other kids saying his head’s full of air, is determined to find one.",https://www.booktrust.org.uk/book-recommendations/bookfinder/this-rock-is-mine/
We Went to Find a Woolly Mammoth,"Catherine Cawthorne, illustrated Aysha Awwad",20234 to 6 years,,,Picture books,"Join the children as they search for a woolly mammoth and discover lots of other giant Ice Age animals along the way! Charming and informative, with very cute illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/we-went-to-find-a-woolly-mammoth/
Who’s Afraid of the Light?,Anna McGregor,20234 to 6 years,,,"Non-fiction, Picture books","Meet Fergus, who is a real deep-sea creature. But we can only see his eyes. What could he be? An enjoyable anarchic mash-up of fiction and non-fiction, with facts at the end, and a surprise reveal.",https://www.booktrust.org.uk/book-recommendations/bookfinder/whos-afraid-of-the-light/
Bum or Face?,Kari Lavelle,20234 to 9 years,,,"Funny, Non-fiction",,https://www.booktrust.org.uk/book-recommendations/bookfinder/bum-or-face/
The Breakfast Club Adventures: The Phantom Thief,"Marcus Rashford and Alex Falase-Koya, illustrated Marta Kissi",20236 to 12 years,,,,Can the Breakfast Club Investigators find the Phantom Thief and save Asim from being blamed? A gentle mystery with short chapters and lots of energetic illustrations.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-breakfast-club-adventures-the-phantom-thief/
The Council of Good Friends,"Nikesh Shukla, illustrated Rochelle Falconer",20236 to 12 years,,,"Chapter books, Funny","Vinay and his​“Council of Friends” aredisrupted by the arrival of his cousin. Together, they learn toset aside their differences and empathise with each other’s feelings.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-council-of-good-friends/
A First Book of Dinosaurs,"Simon Mole, illustrated Matt Hunt",20236 to 9 years,,,"Funny, Poetry and rhyme","This fun and inventive collection of thirty roar-some, illustrated poems celebrates the weird and wonderful world of dinosaurs.",https://www.booktrust.org.uk/book-recommendations/bookfinder/a-first-book-of-dinosaurs/
