age_range,author,categories,description,detail_url,google_books_id,isbn,isbn10,isbn13,language,page_count,published_date,publisher,tags,thumbnail_url,title,year
2 to 4 years,Nadia Shireen,Juvenile Fiction,"Geoffreys jitters are out of control! How can he get rid of them? Told with humour and great empathy, this picture book from the author-illustrator ofBarbara Throws a Wobbleris both funny and helpful.",https://www.booktrust.org.uk/book-recommendations/bookfinder/geoffrey-gets-the-jitters/,OdmZEAAAQBAJ,9780241623695,0241623693,9780241623695,en,36,2023-08-03,Random House,"Funny, Picture books",https://books.google.com/books/content?id=OdmZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Geoffrey Gets the Jitters,2023
2 to 6 years,by Beach,,A funny picture book about dragons learning they dont always have to be bad!,https://www.booktrust.org.uk/book-recommendations/bookfinder/big-bad-dragon-club/,,,,,,,,,"Funny, Picture books, Poetry and rhyme",,Big Bad Dragon Club,2023
2 to 6 years,"A. M. Dassu, illustrated Junissa Bianda",,Hana cant find the familys Eid presents! She lookseverywhere- will she find them in time for Eid? A fun search-and-find story.,https://www.booktrust.org.uk/book-recommendations/bookfinder/can-you-find-my-eid-presents/,,,,,,,,,Picture books,,Can You Find My Eid Presents?,2024
4 to 12 years,"Nicola Davies, illustrated Emily Sutton",Juvenile Nonfiction,A beautifully illustrated book explaining how plants evolved and how they work now.,https://www.booktrust.org.uk/book-recommendations/bookfinder/green-the-story-of-plant-life-on-our-planet/,gMTaEAAAQBAJ,9781536237283,1536237280,9781536237283,en,39,2024-03-12,Candlewick Press,Non-fiction,https://books.google.com/books/content?id=gMTaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Green: The Story of Plant Life on Our Planet,2023
4 to 6 years,Ken Wilson-Max,Juvenile Fiction,"Aaronis scared ofgoing under the water. But when he finds an octopus stranded on the beach, hemust be brave. A gentle story about facing fears, and about ocean conservation.",https://www.booktrust.org.uk/book-recommendations/bookfinder/aqua-boy/,fsTaEAAAQBAJ,9781536237276,1536237272,9781536237276,en,31,2024-05-21,Candlewick Press,Picture books,https://books.google.com/books/content?id=fsTaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Aqua Boy,2024
4 to 6 years,"Moira Butterfield, illustrated Adam Ming",Juvenile Nonfiction,"A fact-filled, rhyming picture bookabout self-care routines. Animals are just like you!",https://www.booktrust.org.uk/book-recommendations/bookfinder/does-a-bear-wash-its-hair/,wjnVEAAAQBAJ,9781526669087,1526669080,9781526669087,en,34,2024-05-09,Bloomsbury Publishing,"Funny, Non-fiction, Poetry and rhyme",https://books.google.com/books/content?id=wjnVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Does a Bear Wash Its Hair?,2024
4 to 6 years,"Flo Fielding, illustrated Sawyer Cloud",Juvenile Nonfiction,"Femis wind machine for Science Daydoesntalways work. Gran has some useful advice - but what will happen at school when it matters? With techniques to calm anxiety, and gorgeous illustrations, this picture book will stimulate conversations about feelings.",https://www.booktrust.org.uk/book-recommendations/bookfinder/femi-and-the-mindfulness-machine/,Y3uyEAAAQBAJ,9780241654262,0241654262,9780241654262,en,34,2023-09-07,Dorling Kindersley Ltd,Picture books,https://books.google.com/books/content?id=Y3uyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Femi and the Mindfulness Machine,2023
4 to 6 years,"Lanisha Butterfield, illustrated Hoang Giang",Juvenile Fiction,Theos sunflower has grownrightthrough the tower block! A delightful celebration of nature and community.,https://www.booktrust.org.uk/book-recommendations/bookfinder/flower-block/,B53VEAAAQBAJ,9780241611388,0241611385,9780241611388,en,40,2024-06-06,Random House,Picture books,https://books.google.com/books/content?id=B53VEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Flower Block,2024
4 to 6 years,"Craig Barr-Green, illustrated Francis Martin",,Retelling of Little Red Riding Hood with a neurodivergent protagonist.,https://www.booktrust.org.uk/book-recommendations/bookfinder/gina-kaminski-saves-the-wolf/,,,,,,,,,"Adventure, Picture books, Autistic spectrum conditions, Neurodiversity",,Gina Kaminski Saves the Wolf,2023
4 to 6 years,"Peter Bently, illustrated John Bond",Juvenile Fiction,An action-packed and hilarious rhyming adventure which sees a team of hamster superheroes battle against a variety of rodent foes.,https://www.booktrust.org.uk/book-recommendations/bookfinder/hamster-heroes/,wzqgEAAAQBAJ,9780008469238,0008469237,9780008469238,en,34,2023-07-06,HarperCollins UK,"Funny, Picture books, Poetry and rhyme",https://books.google.com/books/content?id=wzqgEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Hamster Heroes,2024
