title,author,age_range,isbn
The Mega Magic Hair Swap,Rochelle Humes,4-5 years,9781444968651
Oi! Don't Read This Book!,Kes Gray,4-5 years,9781444962642
The Baddies,Julia Donaldson,4-5 years,9781407196763
Meesha Makes Friends,Tom Percival,4-5 years,9781526612953
The Invisible,Tom Percival,4-5 years,9781526600219
The Boy Who Made the World Disappear,Ben Miller,6-7 years,9781471172243
The Day I Fell Into a Fairytale,Ben Miller,6-7 years,9781471192265
Matilda,Roald Dahl,6-7 years,9780141365466
The BFG,Roald Dahl,6-7 years,9780141365428
The Highland Falcon Thief,M.G. Leonard & Sam Sedgman,8-9 years,9781529013061
Kidnap on the California Comet,M.G. Leonard & Sam Sedgman,8-9 years,9781529013085
Murder on the Safari Star,M.G. Leonard & Sam Sedgman,8-9 years,9781529013108
The Nowhere Emporium,Ross MacKenzie,10-11 years,9781782502227
Evernight,Ross MacKenzie,10-11 years,9781839132636
The Hate U Give,Angie Thomas,11+ years,9781406372151
On the Come Up,Angie Thomas,11+ years,9781406372168
Concrete Rose,Angie Thomas,11+ years,9781406384444
